Well Name,WINS,Completion,API #10,Operating Company,Budgeting Area,Production Method,Foreman Name,Route Description,Pad Name,State,County,Formation,Member,Interval,Target,True Vertical Depth,Measured Depth,First Date,Last Date,First Oil Date,First Gas Sales Date,Base or Wedge,Surface Latitude,Surface Longitude,Bottom Hole Latitude,Bottom Hole Longitude,Lateral Length,Stimulated Lateral Length,Total Proppant,Water Volume Pumped,Proppant Intensity,Fluid Intensity,Number of Stages,Number of Perforation Clusters,Stage Length,Cluster Spacing,Clusters/Stage,Primary Fluid,Primary Treatment Type,Proppant/cluster,Fluid/ cluster,Frac Company,Avg Injection Rate,Avg Injection Pressure,Max Injection Rate,Max Injection Pressure,Oil Gravity API,Gas Gravity,Solution Gas Oil Ratio,Initial Reservoir Pressure,Reservoir Temperature,Formation Compressibility,Water Saturation,N2 PCT,CO2 PCT,H2S PCT,PVT Lab Report,Result,Period Start,Period End,Slope,Variance,Average Oil Rate,Average Gas Rate,Average Water Rate,Average Oil Gravity,Average Gas Gravity,Average Separator Pressure,Average Separator Temperature,Average Separator Gas Oil Ratio,Stock Tank Gas Oil Ratio,Calculated Solution Gas Oil Ratio,Saturation Pressure,Stock Tank Gas Specific Gravity,Oil Specific Gravity,Water Specific Gravity,Corrected Gas Specific Gravity,Gas Pseudo Critical Pressure,Gas Pseudo Critical Temperature,Saturation Pressure,Bob,Boi,Bgi,Bwi,Coi,Cgi,Cwi,Cti,Pressure Gradient,Temperature Gradient,Initial Reservoir Pressure,Reservoir Temperature,Solution Gas Oil Ratio,Oil Gravity,Gas Gravity,Water Saturation,VLime,VClay,VSand,TOC,Isopach,Porosity,Structure ,Maturity,Recombined GOR,Solution GOR at Standard Conditions,Solution GOR at Separator Conditions,Initial Reservoir Pressure,Reservoir Temperature,Saturation Pressure,Fluid Type,Lab Company,Oil Gravity,Gas Gravity,N2 PCT,CO2 PCT,H2S PCT,Casing True Vertical Depth,Casing Measured Depth,Tubing Depth,Casing ID,Tubing ID,Tubing Flow Date,Lift Correlation,Gauge Depth,BHP Gauge Available,BHP All Inputs Available,Gas Lift Valves Data Source,Gas Lift Valve 1 Depth,Gas Lift Valve 2 Depth,Gas Lift Valve 3 Depth,Gas Lift Valve 4 Depth,Gas Lift Valve 5 Depth,Gas Lift Valve 6 Depth,Gas Lift Valve 7 Depth,Gas Lift Valve 8 Depth,Gas Lift Valve 9 Depth,Gas Lift Valve 10 Depth,BHP Last Calculated Value,Last Calculated Date,BHP Results Count,Well Status,Initial Value,Di,De,b,Manual Fit,Initial Value (Manual),Di (Manual),De (Manual),b (Manual),Initial Value (Auto),Di (Auto),De (Auto),b (Auto),Excluded Data,Excluded After Date,Notes,User Name,DateTime Last Processed,MBT Filter,MBT Filter Value,Outlier Filter,Outlier Filter Value,Bourdet Smoothing,Cubic Spline Smoothing,Cumulative Oil Production (Current),Cumulative Gas Production (Current),Cumulative Water Production (Current),Cumulative Liquid Production (Current),Cumulative BOE Production (Current),Cumulative Total Equivalent Rate Production (Current),Liq. Productivity Index Forecast - Initial Value,Liq. Productivity Index Forecast - Di,Liq. Productivity Index Forecast - b,Avg. Pressure Forecast - Initial Value,Avg. Pressure Forecast - Di,Avg. Pressure Forecast - b,Liq. Rate Prediction Forecast - Initial Value,Liq. Rate Prediction Forecast - Di,Liq. Rate Prediction Forecast - b
SILVERTIP 76-15 T 1H,J6665,1,4230132921,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-10 H/ 76-11 I/ 76-15 T/ 76-14 U 1H PA PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12646.02964,13065,1/6/2018,5/27/2019,1/7/2018,1/20/2018,base,31.9707146,-103.5315646,31.9411295,-103.5316328,9680,9729,33699350,656125.33,3463.804091,67.44016137,24,192,405,50.93717277,8,SLICKWATER FRAC,PNP,175517.4479,3417.319427,PUMPCO,60,9542,71,11470,45.9,0.78,1748.059324,10618.09863,188.627182,0.000004,0.418051541,0.796,0.102,0,FALSE,TRUE,1/8/2018,1/8/2018,52.6241925,1664.64,652.3636364,995.0836364,3401.454545,45.9,0.78,347.3636364,119.4545455,1526.298195,221.7611294,1748.059324,3817.423723,1.504127137,0.797632469,1.0547512,0.777736352,652.738992,396.2581915,4137.012781,2.050039966,1.926173352,0.00046217,1.004969054,9.62133E-06,3.10069E-05,2.13906E-06,1.04934E-05,0.839638948,0.014915922,10618.09863,188.627182,1920.328369,42.21265793,0.814625859,0.418051541,0.12732029,0.293548793,0.544244945,,242.2301941,0.081861295,1.052955508,-8964.725586,,,,,,,,,,,,,,12455.4,13065,12065,3.826,2.441,1/6/2018,PetroleumExperts2,11632.96,TRUE,TRUE,DEFAULT,1096.818182,2193.636364,3290.454545,4387.272727,5484.090909,6580.909091,7677.727273,8774.545454,9871.363636,10968.18182,3465.4611,5/27/2019,484,include,2.576,0.087187,89.75410943,2.14,FALSE,,,,,4.640628445,0.05,89.75410943,1.455755903,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,311870.1098,631167.9001,933204,1245074.111,417064.7601,1583436.991,7.741432624,0.081633651,1.611720285,8686.159062,1.00E-07,0.01,9695.956499,0.05,2.497165698
SILVERTIP 76-15 UNIT S 1H,J1064,1,4230132764,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-10 G/ 76-16 R/ 76-15 S 1H PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12503.22885,12830,10/3/2017,5/27/2019,10/4/2017,10/14/2017,base,31.9709903,-103.5463583,31.941186,-103.546706,9651,9690,11969836,386940.81,1235.277193,39.93197214,51,204,190,47.73399015,4,SLICKWATER FRAC,PNP,58675.66667,1896.768676,PUMPCO,60,9841,72,11400,45.56,0.78,2685.77457,10458.02344,188.0588531,0.000004,0.442545086,0.796,0.102,0,FALSE,TRUE,10/12/2017,10/12/2017,16.2201937,322.56,1634.181818,4077.163636,5223.272727,45.56,0.78,332.1818182,138.4545455,2495.528924,190.2456462,2685.77457,4690.522162,1.467552897,0.799164125,1.0547512,0.777736352,652.738992,396.2581915,5101.463139,2.681900179,2.485059553,0.000464179,1.005178083,1.42398E-05,3.17719E-05,2.14688E-06,1.28881E-05,0.836425781,0.015040823,10458.02344,188.0588531,1962.720947,40.74334717,0.821508944,0.442545086,0.132505506,0.29480949,0.54063797,,251.2271881,0.078287572,1.053651571,-8948.248047,,,,,,,,,,,,,,12368.8,12830,11830,3.92,2.441,10/3/2017,PetroleumExperts2,11682,TRUE,TRUE,DEFAULT,1075.454545,2150.909091,3226.363636,4301.818182,5377.272727,6452.727272,7528.181818,8603.636363,9679.090909,10754.54545,3536.0471,5/27/2019,522,include,2.576,0.087187,91.81451549,2.14,FALSE,,,,,6.65900807,0.069989475,91.81451549,1.455248504,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,426314.24,818472.4896,868479,1294793.24,562726.3216,1928298.863,6.552168057,0.069965528,1.542528173,10493.59535,8.33E-07,6.320423021,12401.38677,0.05,1.795750849
SILVERTIP 76-16 UNIT Q 1H,J7515,1,4230132908,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-8 D/ 76-9 E/ 76-17 P/ 76-16 Q 1H PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12375.85801,12780,4/28/2017,5/27/2019,4/29/2017,10/1/2017,base,31.9685193,-103.5651887,31.9410398,-103.5632468,9116,9155,11489220,369567.13,1254.966685,40.36779137,43,344,213,26.6909621,8,SLICKWATER FRAC,PNP,33398.89535,1074.323052,PUMPCO,57,8267,72,8870,46.9,0.78,1704.152679,10321.11328,186.1430969,0.000004,0.478347391,1.224,2.224,0,FALSE,TRUE,5/6/2017,5/6/2017,41.11209044,322.56,1780.363636,2660.661818,3722.181818,46.9,0.78,332.5454545,132.3636364,1494.592898,209.5597808,1704.152679,3653.449304,1.443862677,0.793161435,1.0547512,0.760584058,655.0809312,392.2160083,4004.225452,2.022683849,1.902769011,0.000462955,1.004880062,9.66938E-06,3.2725E-05,2.14663E-06,1.00709E-05,0.83397156,0.015040823,10321.11328,186.1430969,1993.600098,42.77799606,0.811978102,0.478347391,0.13427797,0.303126872,0.536288857,,263.6081238,0.074528039,1.067804337,-8910.101563,,,,,,,,,,,,,,12197,12780,11780,3.92,2.441,4/28/2017,PetroleumExperts2,,FALSE,TRUE,DEFAULT,1070.909091,2141.818182,3212.727273,4283.636364,5354.545455,6425.454545,7496.363636,8567.272727,9638.181818,10709.09091,2841.6704,5/27/2019,589,include,2.576,0.087187,89.23671078,2.14,FALSE,,,,,4.585111753,0.05,89.23671078,1.501238874,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,531704.8199,1095381.059,806180.6001,1337885.42,714268.33,1913557.665,100,13.58742094,1.721346615,10550.42494,1.12781E-06,7.766889485,10689.24161,0.05,2.04059307
SILVERTIP 76-16 UNIT R 1H,J3515,1,4230132910,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,FLOWING,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-10 G/ 76-16 R/ 76-15 S 1H PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W1_ALPHA,12175.81263,12664,10/13/2017,5/27/2019,10/14/2017,10/14/2017,base,31.9709913,-103.5464601,31.9409754,-103.5485585,9321,9360,19173630,620378.79,2048.464744,66.27978526,24,192,390,49.0052356,8,SLICKWATER FRAC,PNP,99862.65625,3231.139531,PUMPCO,60,8885,72,11200,46.73,0.78,1480.860321,10184.16406,183.1342468,0.000004,0.553625703,0.796,0.102,0,FALSE,TRUE,10/26/2017,10/26/2017,57.99461679,743.04,722.1818182,921.9054545,2949.818182,46.73,0.78,299.1818182,115.3636364,1278.383645,202.4766763,1480.860321,3379.244307,1.47928733,0.793917971,1.0547512,0.777736352,652.738992,396.2581915,3695.493202,1.876889524,1.774631317,0.000465473,1.004262265,8.63329E-06,3.29343E-05,2.14245E-06,9.03979E-06,0.836425781,0.015040823,10184.16406,183.1342468,1957.759399,40.74334717,0.821508944,0.553625703,0.0635368,0.223217592,0.603454769,0.293477058,175.2737885,0.081528112,1.052812219,-8733.90625,,,,,,,,,,,,,,12080.2,12664,11664,3.92,2.441,10/13/2017,PetroleumExperts2,,FALSE,TRUE,DEFAULT,1060.363636,2120.727273,3181.090909,4241.454545,5301.818182,6362.181818,7422.545454,8482.90909,9543.272727,10603.63636,3998.5166,5/27/2019,556,include,5.25,0.0463,99.99999542,1.68,TRUE,5.25,0.0463,99.99999542,1.68,5.254188654,0.05,85.36283723,1.84539191,FALSE,,Used manual fit to match the tail.,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,510836.6503,1063671.37,1306385,1817221.648,688115.2124,2366035.309,5.612820668,0.05,1.875586685,10192.94462,3.66E-07,10.58337808,8978.635086,0.05,3.953056261
SILVERTIP 76-17 P 1H,J6806,1,4230132904,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-8 D/ 76-9 E/ 76-17 P/ 76-16 Q 1H PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W1_ALPHA,12064.36406,12668,1/25/2017,5/27/2019,1/25/2017,10/1/2017,base,31.9685197,-103.5654779,31.9410702,-103.5655198,8816,8855,18027966,363858.07,2035.908075,41.09069113,77,308,115,28.84364821,4,SLICKWATER FRAC,PNP,58532.35714,1181.35737,PUMPCO,59,8222,71,10340,46.5,0.78,3103.705927,10061.33691,181.457962,0.000004,0.577072382,1.224,2.224,0,FALSE,TRUE,6/6/2017,6/6/2017,45.51616423,120.96,1830.545455,5347.549091,3903.272727,46.5,0.78,300.9090909,136.1818182,2921.364102,182.341825,3103.705927,4771.892332,1.49662919,0.79494382,1.0547512,0.760584058,655.0809312,392.2160083,5297.835085,2.978481436,2.749427856,0.000464268,1.004025543,1.67869E-05,3.39098E-05,2.14312E-06,1.23364E-05,0.83397156,0.015040823,10061.33691,181.457962,1992.259521,42.77799606,0.811978102,0.577072382,0.063777849,0.206874758,0.605293751,0.284883559,178.9127045,0.080711946,1.066778421,-8705.943359,,,,,,,,,,,,,,11925.6,12668,11668,3.826,2.441,5/28/2017,PetroleumExperts2,,FALSE,TRUE,DEFAULT,1060.727273,2121.454545,3182.181818,4242.909091,5303.636364,6364.363636,7425.090909,8485.818182,9546.545454,10607.27273,3857.496,5/27/2019,591,include,2.576,0.087187,88.99737661,2.14,FALSE,,,,,9.370005257,0.05,88.99737661,1.522285844,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,672542.2702,1241597.899,1386794,2059336.27,879475.2526,3238533.828,12.17347239,0.129007986,1.672267931,10108.03949,2.21E-07,10.17552245,9921.122607,0.05,3.624750441
SILVERTIP 76-17 UNIT O 1H,J4861,1,4230132900,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-7 UNIT B/ 76-8 UNIT C/ 76-18 N/ 76-17 PAD,TX,LOVING,WOLFCAMP,WC_A,ALPHA,W2_ALPHA,12102.05436,12483,12/25/2016,5/27/2019,12/26/2016,8/1/2017,base,31.9685179,-103.5804405,31.9410689,-103.5803629,8894,8935,22476800,499601.26,2515.590375,55.91508226,45,270,199,33.21561338,6,SLICKWATER FRAC,PNP,83247.40741,1850.375037,PUMPCO,60,7699,71,8890,48.3,0.78,2433.500938,10092.76953,181.6338501,0.000004,0.577072382,0.65,0.135,0,FALSE,TRUE,1/2/2017,1/3/2017,49.32506043,714.24,925.0909091,2114.269091,2576.727273,48.3,0.78,207.3636364,118.7272727,2287.58912,145.9118185,2433.500938,4139.06874,1.480722044,0.786985539,1.0547512,0.777767979,652.7346719,396.2656044,4673.190094,2.514129058,2.337669882,0.000466023,1.004007446,1.34228E-05,3.334E-05,2.14189E-06,1.09129E-05,0.83397156,0.015008514,10092.76953,181.6338501,1993.024048,46.1363945,0.79663533,0.577072382,0.070349991,0.19549875,0.609299183,0.296612591,182.8801422,0.078911513,1.087644815,-8658.711914,,,,,,,,,,,,,,11983.3,12483,11483,3.826,2.441,8/1/2017,PetroleumExperts2,,FALSE,TRUE,DEFAULT,1043.909091,2087.818182,3131.727273,4175.636364,5219.545455,6263.454545,7307.363636,8351.272727,9395.181818,10439.09091,4294.2922,5/27/2019,661,include,2.576,0.087187,84.66007668,2.14,FALSE,,,,,7.037663794,0.05,84.66007668,1.909160834,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,800207.8506,1766420.931,1480513,2280720.849,1094611.337,3369737.6,7.086736611,0.05,1.776809299,10129.40929,2.83E-07,19.69196854,10218.52993,0.05,4.484441597
SILVERTIP 76-18 N 1H,J6660,1,4230132897,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-7 UNIT B/ 76-8 UNIT C/ 76-18 N/ 76-17 PAD,TX,LOVING,BONE SPRING,BSPG2,SAND_BSPG2,SAND_BSPG2,10717.90726,11292,5/20/2017,5/27/2019,5/21/2017,6/22/2017,base,31.9685181,-103.5807314,31.940989,-103.5825957,8647,8686,21441244,486774.43,2468.483076,56.04126525,43,258,202,33.79766537,6,SLICKWATER FRAC,PNP,83105.5969,1886.722597,PUMPCO,61,7096,71,8730,45.5,0.78,2064.956012,6924.369629,154.1256866,0.000004,0.63967216,0.65,0.135,0,FALSE,TRUE,5/29/2017,5/29/2017,62.12804747,144,1186.909091,2213.934545,2550.545455,45.5,0.78,301.8181818,108.1818182,1865.4,199.5560118,2064.956012,3889.293405,1.542356069,0.799435028,1.0547512,0.777767979,652.7346719,396.2656044,4291.031673,2.228169763,2.135260019,0.000516819,1.003445091,1.61722E-05,5.77961E-05,2.2634E-06,1.12751E-05,,,6924.369629,154.1256866,2135.801025,44.61587524,0.801177204,0.63967216,0.202692583,0.146056831,0.656418145,,190.6210327,0.063854687,0.97780472,-7310.688965,,,,,,,,,,,,,,10659,11292,10292,3.826,2.441,5/20/2017,PetroleumExperts2,,FALSE,TRUE,DEFAULT,935.636364,1871.272727,2806.909091,3742.545454,4678.181818,5613.818182,6549.454545,7485.090909,8420.727272,9356.363636,2199.8115,5/27/2019,675,include,5.532301982,0.04,99.99995436,1.415,TRUE,5.532301982,0.04,99.99995436,1.415,5.513283556,0.05,87.19759561,1.68118406,FALSE,,Used the Manual Fit to catch the tail.,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,FALSE,1,0.2,0.2,456651.901,966361.2188,672469,1129120.901,617712.1045,1696088.022,4.525028054,0.05,1.869102931,6903.119076,3.46E-07,4.548962823,4387.56656,0.05,4.892946913
SILVERTIP 76-18 UNIT M 1H,J7527,1,4230133104,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-18 M 1H / 76-7 UNIT A 1H/2H/3H  PAD,TX,LOVING,BONE SPRING,BSPG1,AVALON,UPPER_AVALON,9030.710417,9245,8/7/2018,5/27/2019,8/11/2018,10/13/2018,base,31.9685137,-103.5974283,31.9410817,-103.5974309,9592,9200,22878970,516114.61,2486.844565,56.09941413,46,276,200,33.45454545,6,SLICKWATER FRAC,PNP,82894.81884,1869.980471,PUMPCO,89,6871,92,11260,47.2,0.78,4934.3,5000,127.5,0.000004,0.37,1.13,5.5,0,FALSE,TRUE,8/12/2018,8/13/2018,60.19088579,1382.4,453.8181818,2160.785455,4490.181818,47.2,0.78,203.1818182,105.2727273,4789.323296,144.9734758,4934.296772,4698.872698,1.70496789,0.791829882,1.0547512,0.734146835,658.6864669,385.9004223,5631.19253,4.316461933,2.75021466,0.000566926,1.000663622,1.00E-10,9.52585E-05,2.35581E-06,4.87171E-06,,,,127.5021973,5154.102051,,,0.368300945,0.074803263,0.132667676,0.664251387,1.127476811,288.8764038,0.120473392,0.88335222,-5711.427246,,,,,,,,,,,,,,8967.4,9245,8245,4.67,2.44,,PetroleumExperts2,,FALSE,TRUE,DEFAULT,749.545455,1499.090909,2248.636364,2998.181818,3747.727273,4497.272727,5246.818182,5996.363636,6745.909091,7495.454545,1437.9182,5/27/2019,231,include,2.576,0.087187,90.23595441,2.14,FALSE,,,,,8.755296816,0.05,90.23595441,1.413384921,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,205593.65,493015.8709,340880,546473.6501,287762.9618,907713.5311,7.720250782,0.05,1.159027489,5016.096896,3.26E-07,8.272381704,4377.426298,0.05,5.747278728
SILVERTIP 76-24 9HN,H2720,1,4230132065,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-24 9HN PAD,TX,LOVING,BONE SPRING,BSPG1,AVALON,UPPER_AVALON,9487.194074,9683,2/21/2014,5/27/2019,2/28/2014,3/30/2014,base,31.9425436,-103.4987573,31.9549754,-103.4989887,3912,3950,6288600,141496,1592.050633,35.82177215,22,110,180,36.23853211,5,SLICKWATER FRAC,PNP,57169.09091,1286.327273,WEATHERFORD,98.81,6103,104.9,7922,40,0.972,2311,,131.6199493,0.000004,0.369988918,2.2,8.83,0,TRUE,TRUE,3/14/2014,3/14/2014,45.51616423,167.04,74.18181818,112.9963636,1012.363636,45,0.8,50.18181818,70.72727273,1569.090909,35.33375796,1604.424667,3186.210308,1.202520898,0.825072886,1.0547512,0.917736316,633.5444789,427.6230864,3771.457215,2.530269422,,,,,,,,,,,131.6199493,4798.524902,,,0.369988918,0.152692422,0.139558658,0.576307654,1.826135635,255.8771973,0.093968824,0.834873974,-6045.728516,2113,2311,,4824,135,4308,Bubble Point (Oil),Schlumberger,40,0.972,2.2,8.83,0,9481.1,9683,8683,4.778,2.441,2/21/2014,PetroleumExperts2,,FALSE,FALSE,OPENWELL,3083.006166,3583.007166,4084.008168,4585.00917,5086.010172,5586.011172,6087.012174,6588.013176,7089.014178,7589.015178,814.2221,2/8/2019,1183,include,2.576,0.087187,,2.14,FALSE,,,,,,,,,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,108343.5699,437180.2998,519179.63,627523.2001,181206.9537,,,,,,,,,,
SILVERTIP 76-7 UNIT A 10H,K0518,1,4230133701,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-7 UNIT A 10H/ SILVERTIP 76-7 UNIT B 2 PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,UPPER_BETA,12124.88283,12474,11/30/2018,5/27/2019,11/30/2018,11/30/2018,base,31.9680227,-103.5909203,31.9999519,-103.5907331,9611,9650,24006146,522063.6,2487.683523,54.09985492,48,288,201,33.62369338,6,SLICKWATER FRAC,PNP,83354.67361,1812.720833,PUMPCO,70,11080,73,12180,46.79294968,0.793637633,2009.067017,10123.43262,183.0190277,0.000004,0.550525069,1.125,5.502,0,FALSE,,,,,,,,,,,,,,,,,,0.793637664,1.0547512,0.748748014,656.6957652,389.4012854,4277.012375,2.231861314,2.088837138,0.000462841,1.00437318,1.13256E-05,3.39244E-05,2.14591E-06,1.02719E-05,0.83493036,0.015094499,10123.43262,183.0190277,2009.067017,46.79294968,0.793637633,0.550525069,0.132087231,0.338344008,0.517626226,,293.6679382,0.065737061,1.074090838,-9075.833984,,,,,,,,,,,,,,12124.8828,12474,11474,3.92,2.441,,PetroleumExperts2,,FALSE,TRUE,DEFAULT,1043.090909,2086.181818,3129.272727,4172.363636,5215.454545,6258.545454,7301.636363,8344.727272,9387.818181,10430.90909,2623.5305,5/27/2019,104,include,2.576,0.087187,86.09035092,2.14,FALSE,,,,,3.059182744,0.05,86.09035092,1.779924339,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,279483,621997.6108,427143,706626,383149.2689,1041594.603,2.429484016,0.05,1.924691625,8626.388467,1.00E-07,100,11452,0.05,1.698874563
SILVERTIP 76-7 UNIT A 1H,J7528,1,4230133106,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-18 M 1H / 76-7 UNIT A 1H/2H/3H  PAD,TX,LOVING,WOLFCAMP,WC_A,DELTA,UPPER_DELTA,12459.3808,12769,10/24/2018,5/27/2019,10/24/2018,10/24/2018,base,31.9685133,-103.5973318,31.9997567,-103.5969971,10596,10634,25993540,644487.97,2444.38029,60.60635415,53,320,201,33.3354232,6.037735849,SLICKWATER FRAC,PNP,81229.8125,2014.024906,PUMPCO,61,11443,72,13500,46,0.78,3101,9873,178,0.000004,0.5,0.65,0.14,0,FALSE,,,,,,,,,,,,,,,,,,0.797183099,1.0547512,0.777730572,652.7397817,396.2568364,5296.459653,2.970243904,2.747722812,0.000467449,1.003404898,1.70091E-05,3.43647E-05,2.14121E-06,1.35751E-05,0.83493036,0.015179176,10402.71484,189.1231384,2205.113525,46.79294968,0.793637633,0.616111457,,0.298736185,,,150.0610352,0.083534308,,-9206.299805,,,,,,,,,,,,,,12459.38,12769,11769,5,2.44,12/24/2018,PetroleumExperts2,1,TRUE,TRUE,DEFAULT,1069.909091,2139.818182,3209.727273,4279.636364,5349.545455,6419.454545,7489.363636,8559.272727,9629.181818,10699.09091,3291.3388,5/27/2019,136,include,2.576,0.087187,84.21109007,2.14,FALSE,,,,,2.67776856,0.05,84.21109007,1.950204131,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,161099,475526.7706,414792,575891,240353.4616,860992.062,2.717613797,0.099632982,2.211328371,10829.16787,3.19611E-05,23.52553893,12603.84248,0.073918226,1.610711889
SILVERTIP 76-7 UNIT A 2H,J7537,1,4230133583,ANADARKO E&P ONSHORE LLC,DELAWARE BASIN PERMIAN OP BUDGET CC,GAS LIFT,JAMES WEAVER,DC1 SILVERTIP EAST,SILVERTIP 76-18 M 1H / 76-7 UNIT A 1H/2H/3H  PAD,TX,LOVING,WOLFCAMP,WC_A,BETA,MIDDLE_BETA,12255.89495,12658,8/29/2018,5/27/2019,8/29/2018,8/29/2018,base,31.9685165,-103.597524,31.9999507,-103.5955545,10612,10651,26395340,580552.15,2478.202986,54.50682096,53,318,201,33.59936909,6,SLICKWATER FRAC,PNP,83004.21384,1825.635692,PUMPCO,65,11137,72,12840,46,0.78,2689,9873,178,0.000004,0,0.65,0.14,0,FALSE,,,,,,,,,,,,,,,,,,0.797183099,1.0547512,0.777730572,652.7397817,396.2568364,4998.301071,2.677586005,2.489658426,0.000467449,1.003404898,1.49229E-05,3.43647E-05,2.14121E-06,1.89229E-05,0.83493036,0.015094499,10232.81836,184.9965973,2022.337891,46.79294968,0.793637633,0.555894494,0.132847711,0.341153175,0.516267776,,297.2806091,0.065712109,1.074090838,-9069.362305,,,,,,,,,,,,,,12255.9,12658,12000,5,2.44,12/31/2018,PetroleumExperts2,1,TRUE,TRUE,DEFAULT,1090.909091,2181.818182,3272.727273,4363.636364,5454.545455,6545.454545,7636.363636,8727.272727,9818.181818,10909.09091,3471.5996,5/27/2019,196,include,2.576,0.087187,92.96966837,2.14,FALSE,,,,,13.64746906,0.05,92.96966837,1.170360435,FALSE,,,SYSTEM.SCHEDULER,5/28/2019,TRUE,5,TRUE,1,0.2,0.2,444675.52,1135661.816,1074858.98,1519534.5,633952.4895,2186850.15,,,,,,,,,
