Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Break Pres,"10,110","7,330","7,530",N/A,"8,230","7,790","7,790","7,760","7,730","10,200","8,430","7,750","7,660","7,850","8,810","7,910","7,680","7,510","7,860","7,740","7,700","7,490","7,650","7,830","7,440","7,570","7,470","7,540","7,660","7,440","7,370","7,660","7,490","6,840",N/A,"7,140","6,860","7,060","7,250","7,260","6,990","7,040","7,070","7,190","7,000","7,000","7,120","6,850"
Start Time,23:53,11:15,20:12,3:32,13:40,20:13,2:35,12:10,19:18,3:10,10:00,16:22,22:54,5:41,12:17,19:10,3:09,10:34,17:29,0:37,7:56,14:38,21:09,4:46,14:51,20:46,2:34,9:12,14:54,21:00,3:31,9:15,15:09,21:27,9:40,16:07,22:14,5:51,11:27,16:46,3:35,12:52,19:05,0:54,11:22,16:39,22:22,4:11
End Time,3:07,16:06,23:17,6:44,16:41,23:14,7:23,15:12,22:16,6:11,13:05,19:18,2:21,8:39,15:12,23:46,6:02,13:33,19:24,3:37,10:58,17:34,1:14,7:40,17:46,23:41,5:29,12:05,17:57,0:25,6:26,12:14,18:03,0:22,12:42,19:00,1:08,8:47,14:28,19:43,7:09,15:47,22:04,8:55,14:19,19:38,1:18,6:58
Pump Time,3:14,4:51,3:05,3:12,3:01,3:01,4:48,3:02,2:58,3:01,3:05,2:56,3:27,2:58,2:55,4:36,2:53,2:59,1:55,3:00,3:02,2:56,4:05,2:54,2:55,2:55,2:55,2:53,3:03,3:25,2:55,2:59,2:54,2:55,3:02,2:53,2:54,2:56,3:01,2:57,3:34,2:55,2:59,8:01,2:57,2:59,2:56,2:47
Ave Rate,69.8,69.5,68.6,70.4,70.2,70.0,68.9,70.3,70.2,70.7,68.8,70.3,70.2,70.1,70.0,70.4,70.0,70.1,70.2,70.2,69.9,69.8,69.8,70.1,70.5,70.2,70.5,70.2,69.4,70.4,70.4,69.8,69.6,70.2,70.0,70.1,70.3,70.8,70.2,69.9,70.3,70.1,70.5,70.4,70.2,69.8,69.7,70.3
Ave Pres,"10,805","10,897","10,974","10,610","10,898","11,090","11,006","11,148","11,175","10,960","11,239","11,193","10,993","11,272","11,366","11,074","11,242","11,348","11,499","11,262","10,909","11,241","11,417","11,383","11,336","11,584","11,250","11,529","11,499","11,350","11,131","11,130","10,896","11,040","11,304","11,238","11,154","11,175","10,891","10,737","10,342","10,735","10,701","11,294","10,376","10,717","10,698","10,727"
Max Rate,73.3,70.3,70.5,71.3,70.8,70.7,70.2,70.9,71.4,71.8,70.8,71.7,71.1,70.6,70.4,71.3,71.3,70.9,71.9,71.5,70.6,70.4,70.8,70.9,72.7,71.3,71.6,70.9,72.1,71.6,71.3,71.3,71.5,72.3,71.0,71.7,71.1,73.0,71.6,71.3,70.9,72.0,71.1,70.9,70.7,71.1,70.7,71.0
Max Pres,"11,600","11,740","10,560","11,610","11,650","11,610","12,060","12,180","11,760","11,660","12,140","11,780","11,650","11,830","11,830","11,810","11,780","11,970","11,770","11,960","12,150","11,740","11,710","11,820","11,940","11,860","11,840","11,980","12,030","11,890","11,860","11,910","11,580","11,870","11,980","12,070","11,810","12,050","12,040","12,010","11,680","11,080","11,960","11,640","11,830","11,880","11,900","11,700"
ISIP,"5,710","5,890","5,810","5,890","5,870","6,020","6,100","6,060","6,130","6,050","6,090","6,120","6,140","6,080","6,020","6,140","6,080","5,980","6,010","5,980","5,990","6,010","5,870","6,050","6,050","5,880","5,890","5,910","5,940","5,880","5,860","5,940","5,990","6,020","6,080","6,050","6,020","6,200","6,010","6,020","5,900","5,980","5,930","5,950","5,880","5,920","5,860","5,930"
FG,0.904,0.918,0.912,0.918,0.917,0.929,0.935,0.932,0.937,0.931,0.934,0.936,0.938,0.933,0.928,0.937,0.932,0.924,0.926,0.924,0.924,0.926,0.914,0.929,0.929,0.915,0.915,0.917,0.919,0.914,0.913,0.919,0.923,0.925,0.930,0.928,0.925,0.940,0.924,0.925,0.915,0.922,0.917,0.919,0.913,0.916,0.912,0.917
Design,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Avg HHP,"18,485","18,562","18,451","18,307","18,751","19,027","18,586","19,208","19,228","18,992","18,952","19,286","18,914","19,367","19,500","19,108","19,288","19,497","19,777","19,366","18,690","19,231","19,521","19,558","19,574","19,940","19,439","19,837","19,560","19,582","19,206","19,041","18,574","19,003","19,394","19,303","19,208","19,392","18,739","18,384","17,820","18,444","18,478","19,488","17,853","18,334","18,273","18,483"
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,30,29,28,30,30,29,30,30,30,29,28,28,29,29,13,14,14,15,15,15,15,14,15,15,15,15,15,15,15,15,15,14,14,13,16,15,13,12,13,13,14,14,15,15,15,15,15,15
Slickwater,"10,864","11,376","10,774","10,800","10,802","10,862","10,933","10,811","10,764","10,894","10,873","10,658","10,740","10,673","10,509","11,816","10,588","10,764","10,608","10,803","10,889","10,603","10,807","10,503","10,639","10,522","10,611","10,481","10,764","10,544","10,688","10,545","10,509","10,526","10,762","10,552","10,516","10,463","10,493","10,724","10,638","10,632","10,758","10,587","10,986","10,624","10,621","10,180"
Pump Down,286,262,260,230,216,210,260,230,212,236,190,201,171,196,178,176,171,159,143,140,154,140,140,129,126,111,105,107,102,101,90,83,83,972,69,62,63,53,49,44,45,37,33,28,17,14,9,0
Total Fluid,"11,180","11,667","11,062","11,060","11,048","11,101","11,223","11,071","11,006","11,159","11,091","10,888","10,940","10,898","10,700","12,005","10,773","10,937","10,766","10,958","11,058","10,756","10,961","10,646","10,780","10,648","10,731","10,603","10,880","10,660","10,792","10,642","10,605","11,511","10,847","10,629","10,592","10,528","10,555","10,781","10,697","10,683","10,806","10,630","11,018","10,653","10,644","10,195"
100 Mesh,"505,100","503,100","500,560","494,820","501,560","502,620","501,580","507,500","504,900","510,340","513,280","494,440","505,800","499,840","501,000","502,906","499,740","504,820","502,860","496,980","497,520","499,100","498,360","496,880","508,160","495,420","498,280","492,880","501,360","500,880","499,040","495,660","490,200","500,460","510,480","507,580","498,680","498,940","498,640","498,320","498,280","498,580","499,260","497,580","499,880","494,000","497,520","480,460"
Total Proppant,"505,100","503,100","500,560","494,820","501,560","502,620","501,580","507,500","504,900","510,340","513,280","494,440","505,800","499,840","501,000","502,906","499,740","504,820","502,860","496,980","497,520","499,100","498,360","496,880","508,160","495,420","498,280","492,880","501,360","500,880","499,040","495,660","490,200","500,460","510,480","507,580","498,680","498,940","498,640","498,320","498,280","498,580","499,260","497,580","499,880","494,000","497,520","480,460"
100 Mesh,"505,100","503,100","500,560","494,820","501,560","502,620","501,580","507,500","504,900","510,340","513,280","494,440","505,800","499,840","501,000","502,906","499,740","504,820","502,860","496,980","497,520","499,100","498,360","496,880","508,160","495,420","498,280","492,880","501,360","500,880","499,040","495,660","490,200","500,460","510,480","507,580","498,680","498,940","498,640","498,320","498,280","498,580","499,260","497,580","499,880","494,000","497,520","480,460"
Delivered Total Prop,"505,100","503,100","500,560","494,820","501,560","502,620","501,580","507,500","504,900","510,340","513,280","494,440","505,800","499,840","501,000","502,906","499,740","504,820","502,860","496,980","497,520","499,100","498,360","496,880","508,160","495,420","498,280","492,880","501,360","500,880","499,040","495,660","490,200","500,460","510,480","507,580","498,680","498,940","498,640","498,320","498,280","498,580","499,260","497,580","499,880","494,000","497,520","480,460"
"Plexslick 957, gal",456,480,453,350,320,386,318,390,394,314,320,420,458,290,269,340,295,310,267,272,306,260,325,248,265,225,237,221,240,215,225,211,218,207,187,197,203,181,185,186,194,192,190,190,232,190,192,169
"Chemplex 4-N-1, gal",8,7,7,8,8,7,8,8,8,7,7,7,7,7,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4
"Payzone 845, gal",91,95,91,89,91,91,91,90,90,92,90,90,91,90,87,96,90,91,91,92,91,88,92,87,90,88,90,88,90,87,90,90,88,90,91,90,89,87,89,89,90,90,90,87,93,89,90,86
"Payzone 850, gal",34,36,34,33,34,34,34,34,33,34,34,34,34,33,33,36,33,34,34,34,34,33,34,33,34,34,34,33,34,34,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,33,34,33
"Payzone 217, gal",91,95,91,89,91,91,91,90,90,92,90,90,91,90,87,96,90,91,91,92,91,88,92,87,90,88,90,88,90,87,90,90,88,90,91,90,89,87,89,89,90,90,90,87,93,89,90,86
"Stim741 Gel, gal",10,20,20,20,10,10,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
"15% HCl Acid, gal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
"Diesel, gal","3,619","3,751","3,436","3,793","3,583","3,605","3,876","3,708","3,677","3,632","3,419","3,605","3,427","3,742","3,435","4,015","3,095","3,416","3,593","3,565","3,746","3,145","3,247","37,455","3,746","3,434","3,416","3,869","3,728","3,657","3,192","3,679","3,410","3,439","3,887","3,912","3,573","3,278","3,417","3,771","3,428","3,554","3,575","3,570","4,999","3,184","3,436","3,340"
"15% HCl Acid, gal","1,261","1,224","1,161","1,251","1,277","1,211","1,256","1,269","1,261","1,224","1,161","1,189","1,227","1,206",554,575,596,610,620,631,633,575,625,617,628,633,635,633,631,625,609,599,580,559,662,609,546,509,541,565,585,604,615,625,633,633,636,633
Well Name,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H,Silvertip A 10H
